id_survei,id_peserta,aspek,skor,komentar
S0058,P0116,Ketepatan Waktu,2,
S0059,P0106,Materi Pelatihan,5,
S0059,P0106,Kualitas Fasilitator,4,
S0059,P0106,Sarana dan Prasarana,4,
S0059,P0106,Konsumsi,4,
S0059,P0106,Ketepatan Waktu,4,
S0060,P0056,Materi Pelatihan,5,
S0060,P0056,Kualitas Fasilitator,5,
S0060,P0056,Sarana dan Prasarana,4,
S0060,P0056,Konsumsi,5,
S0060,P0056,Ketepatan Waktu,4,
S0061,P0122,Materi Pelatihan,4,
S0061,P0122,Kualitas Fasilitator,5,
S0061,P0122,Sarana dan Prasarana,4,
S0061,P0122,Konsumsi,4,
S0061,P0122,Ketepatan Waktu,4,
S0062,P0039,Materi Pelatihan,5,
S0062,P0039,Kualitas Fasilitator,5,
S0062,P0039,Sarana dan Prasarana,5,
S0062,P0039,Konsumsi,4,
S0063,P0033,Materi Pelatihan,5,
S0063,P0033,Kualitas Fasilitator,4,
S0063,P0033,Sarana dan Prasarana,4,
S0063,P0033,Konsumsi,5,
S0063,P0033,Ketepatan Waktu,3,
S0064,P0135,Materi Pelatihan,4,
S0064,P0135,Kualitas Fasilitator,5,
S0064,P0135,Konsumsi,5,
S0064,P0135,Ketepatan Waktu,4,
S0065,P0063,Materi Pelatihan,4,
S0065,P0063,Kualitas Fasilitator,5,
S0065,P0063,Sarana dan Prasarana,4,
S0065,P0063,Ketepatan Waktu,5,
S0066,P0108,Materi Pelatihan,4,
S0066,P0108,Kualitas Fasilitator,4,
S0066,P0108,Sarana dan Prasarana,5,
S0066,P0108,Konsumsi,4,
S0066,P0108,Ketepatan Waktu,1,
S0067,P0075,Materi Pelatihan,4,
S0067,P0075,Kualitas Fasilitator,5,
S0067,P0075,Sarana dan Prasarana,5,
S0067,P0075,Konsumsi,4,
S0067,P0075,Ketepatan Waktu,4,
S0068,P0127,Materi Pelatihan,5,
S0068,P0127,Kualitas Fasilitator,5,
S0068,P0127,Konsumsi,5,
S0069,P0007,Materi Pelatihan,3,
S0069,P0007,Sarana dan Prasarana,4,
S0069,P0007,Konsumsi,5,
S0069,P0007,Ketepatan Waktu,5,
S0070,P0043,Materi Pelatihan,4,
S0070,P0043,Kualitas Fasilitator,5,
S0070,P0043,Konsumsi,4,
S0070,P0043,Ketepatan Waktu,4,
S0071,P0044,Materi Pelatihan,3,
S0071,P0044,Kualitas Fasilitator,4,
S0071,P0044,Sarana dan Prasarana,4,
S0071,P0044,Konsumsi,4,
S0071,P0044,Ketepatan Waktu,4,
S0072,P0111,Materi Pelatihan,5,
S0072,P0111,Kualitas Fasilitator,4,
S0072,P0111,Sarana dan Prasarana,4,
S0072,P0111,Konsumsi,4,
S0072,P0111,Ketepatan Waktu,4,
S0073,P0104,Sarana dan Prasarana,5,
S0073,P0104,Konsumsi,5,
S0073,P0104,Ketepatan Waktu,4,
S0074,P0070,Materi Pelatihan,5,
S0074,P0070,Sarana dan Prasarana,5,
S0074,P0070,Konsumsi,4,
S0074,P0070,Ketepatan Waktu,4,
S0075,P0017,Kualitas Fasilitator,4,
S0075,P0017,Sarana dan Prasarana,5,
S0075,P0017,Konsumsi,4,
S0075,P0017,Ketepatan Waktu,4,
S0076,P0128,Materi Pelatihan,5,
S0076,P0128,Kualitas Fasilitator,5,
S0076,P0128,Sarana dan Prasarana,5,
S0076,P0128,Konsumsi,4,
S0076,P0128,Ketepatan Waktu,5,
S0077,P0021,Materi Pelatihan,4,
S0077,P0021,Kualitas Fasilitator,4,
S0077,P0021,Sarana dan Prasarana,4,
S0077,P0021,Konsumsi,4,
S0077,P0021,Ketepatan Waktu,3,
S0078,P0019,Materi Pelatihan,3,
S0078,P0019,Kualitas Fasilitator,4,
S0078,P0019,Sarana dan Prasarana,4,
S0078,P0019,Konsumsi,4,
S0078,P0019,Ketepatan Waktu,5,
S0079,P0138,Materi Pelatihan,5,
S0079,P0138,Kualitas Fasilitator,5,
S0079,P0138,Sarana dan Prasarana,4,
S0079,P0138,Konsumsi,5,
S0079,P0138,Ketepatan Waktu,4,
S0080,P0063,Materi Pelatihan,4,
S0080,P0063,Kualitas Fasilitator,4,
S0080,P0063,Sarana dan Prasarana,4,
S0080,P0063,Konsumsi,4,
S0080,P0063,Ketepatan Waktu,3,
S0081,P0119,Materi Pelatihan,3,
S0081,P0119,Kualitas Fasilitator,5,
S0081,P0119,Sarana dan Prasarana,5,
S0081,P0119,Ketepatan Waktu,3,
S0082,P0049,Materi Pelatihan,5,
S0082,P0049,Kualitas Fasilitator,3,
S0082,P0049,Sarana dan Prasarana,4,
S0082,P0049,Konsumsi,5,
S0082,P0049,Ketepatan Waktu,1,
S0083,P0090,Materi Pelatihan,4,
S0083,P0090,Kualitas Fasilitator,4,
S0083,P0090,Sarana dan Prasarana,4,
S0083,P0090,Konsumsi,4,
S0084,P0084,Materi Pelatihan,4,
S0084,P0084,Kualitas Fasilitator,3,
S0084,P0084,Konsumsi,4,
S0084,P0084,Ketepatan Waktu,5,
S0085,P0141,Materi Pelatihan,4,
S0085,P0141,Kualitas Fasilitator,4,
S0085,P0141,Sarana dan Prasarana,5,
S0085,P0141,Konsumsi,4,
S0086,P0146,Materi Pelatihan,4,
S0086,P0146,Sarana dan Prasarana,5,
S0086,P0146,Konsumsi,4,
S0086,P0146,Ketepatan Waktu,5,
S0087,P0112,Materi Pelatihan,4,
S0087,P0112,Kualitas Fasilitator,4,
S0087,P0112,Sarana dan Prasarana,4,
S0087,P0112,Konsumsi,1,
S0087,P0112,Ketepatan Waktu,5,
S0088,P0102,Materi Pelatihan,5,
S0088,P0102,Kualitas Fasilitator,4,
S0088,P0102,Sarana dan Prasarana,4,
S0088,P0102,Konsumsi,5,
S0088,P0102,Ketepatan Waktu,4,
S0089,P0051,Materi Pelatihan,5,
S0089,P0051,Sarana dan Prasarana,4,
S0089,P0051,Konsumsi,5,
S0089,P0051,Ketepatan Waktu,5,
S0090,P0042,Materi Pelatihan,5,
S0090,P0042,Kualitas Fasilitator,5,
S0090,P0042,Sarana dan Prasarana,4,
S0090,P0042,Konsumsi,2,
S0090,P0042,Ketepatan Waktu,4,
S0091,P0092,Materi Pelatihan,4,
S0091,P0092,Kualitas Fasilitator,5,
S0091,P0092,Konsumsi,5,
S0092,P0083,Materi Pelatihan,4,
S0092,P0083,Kualitas Fasilitator,5,
S0092,P0083,Sarana dan Prasarana,4,
S0092,P0083,Konsumsi,4,
S0092,P0083,Ketepatan Waktu,4,
S0093,P0113,Materi Pelatihan,1,
S0093,P0113,Kualitas Fasilitator,4,
S0093,P0113,Sarana dan Prasarana,5,
S0093,P0113,Konsumsi,5,
S0093,P0113,Ketepatan Waktu,3,
S0094,P0092,Materi Pelatihan,3,
S0094,P0092,Kualitas Fasilitator,4,
S0094,P0092,Konsumsi,3,
S0094,P0092,Ketepatan Waktu,5,
S0095,P0131,Materi Pelatihan,5,
S0095,P0131,Kualitas Fasilitator,5,
S0095,P0131,Sarana dan Prasarana,2,
S0095,P0131,Konsumsi,5,
S0095,P0131,Ketepatan Waktu,3,
S0096,P0034,Materi Pelatihan,4,
S0096,P0034,Kualitas Fasilitator,5,
S0096,P0034,Sarana dan Prasarana,5,
S0096,P0034,Konsumsi,3,
S0096,P0034,Ketepatan Waktu,5,
S0097,P0041,Materi Pelatihan,5,
S0097,P0041,Kualitas Fasilitator,4,
S0097,P0041,Sarana dan Prasarana,5,
S0097,P0041,Konsumsi,4,
S0097,P0041,Ketepatan Waktu,4,
S0098,P0096,Kualitas Fasilitator,4,
S0098,P0096,Sarana dan Prasarana,5,
S0098,P0096,Konsumsi,4,
S0098,P0096,Ketepatan Waktu,3,
S0099,P0136,Kualitas Fasilitator,5,
S0099,P0136,Sarana dan Prasarana,4,
S0099,P0136,Konsumsi,5,
S0099,P0136,Ketepatan Waktu,4,
S0100,P0101,Materi Pelatihan,4,
S0100,P0101,Kualitas Fasilitator,4,
S0100,P0101,Sarana dan Prasarana,4,
S0100,P0101,Konsumsi,4,
S0100,P0101,Ketepatan Waktu,5,
S0101,P0076,Materi Pelatihan,4,
S0101,P0076,Kualitas Fasilitator,5,
S0101,P0076,Sarana dan Prasarana,5,
S0101,P0076,Konsumsi,1,
S0102,P0039,Materi Pelatihan,5,
S0102,P0039,Kualitas Fasilitator,4,
S0102,P0039,Konsumsi,5,
S0103,P0014,Kualitas Fasilitator,3,
S0103,P0014,Sarana dan Prasarana,4,
S0103,P0014,Konsumsi,4,
S0103,P0014,Ketepatan Waktu,5,
S0104,P0122,Materi Pelatihan,1,
S0104,P0122,Kualitas Fasilitator,4,
S0104,P0122,Sarana dan Prasarana,3,
S0104,P0122,Konsumsi,4,
S0104,P0122,Ketepatan Waktu,5,
S0105,P0015,Materi Pelatihan,4,
S0105,P0015,Kualitas Fasilitator,5,
S0105,P0015,Sarana dan Prasarana,5,
S0105,P0015,Konsumsi,4,
S0105,P0015,Ketepatan Waktu,2,
S0106,P0137,Kualitas Fasilitator,4,
S0106,P0137,Sarana dan Prasarana,3,
S0106,P0137,Konsumsi,5,
S0106,P0137,Ketepatan Waktu,4,
S0107,P0133,Materi Pelatihan,4,
S0107,P0133,Kualitas Fasilitator,5,
S0107,P0133,Sarana dan Prasarana,4,
S0107,P0133,Konsumsi,2,
S0107,P0133,Ketepatan Waktu,5,
S0108,P0138,Kualitas Fasilitator,5,
S0108,P0138,Sarana dan Prasarana,5,
S0108,P0138,Konsumsi,4,
S0108,P0138,Ketepatan Waktu,4,
S0109,P0010,Materi Pelatihan,5,
S0109,P0010,Kualitas Fasilitator,5,
S0109,P0010,Sarana dan Prasarana,3,
S0109,P0010,Konsumsi,5,
S0109,P0010,Ketepatan Waktu,5,
S0110,P0068,Materi Pelatihan,5,
S0110,P0068,Kualitas Fasilitator,3,
S0110,P0068,Sarana dan Prasarana,4,
S0110,P0068,Konsumsi,5,
S0110,P0068,Ketepatan Waktu,4,
S0111,P0084,Materi Pelatihan,4,
S0111,P0084,Kualitas Fasilitator,4,
S0111,P0084,Sarana dan Prasarana,5,
S0111,P0084,Konsumsi,5,
S0111,P0084,Ketepatan Waktu,4,
S0112,P0136,Materi Pelatihan,5,
S0112,P0136,Kualitas Fasilitator,5,
S0112,P0136,Sarana dan Prasarana,4,
S0112,P0136,Konsumsi,5,
S0112,P0136,Ketepatan Waktu,5,
S0113,P0038,Kualitas Fasilitator,5,
S0113,P0038,Sarana dan Prasarana,5,
S0113,P0038,Konsumsi,2,
S0113,P0038,Ketepatan Waktu,5,
S0114,P0011,Materi Pelatihan,5,
S0114,P0011,Kualitas Fasilitator,4,
S0114,P0011,Sarana dan Prasarana,5,
S0114,P0011,Konsumsi,5,
S0114,P0011,Ketepatan Waktu,5,
S0115,P0099,Materi Pelatihan,4,
S0115,P0099,Kualitas Fasilitator,2,
S0115,P0099,Sarana dan Prasarana,5,
S0115,P0099,Konsumsi,5,
S0115,P0099,Ketepatan Waktu,4,
S0116,P0026,Materi Pelatihan,5,
S0116,P0026,Kualitas Fasilitator,4,
S0116,P0026,Sarana dan Prasarana,4,
S0116,P0026,Konsumsi,5,
S0117,P0095,Materi Pelatihan,5,
S0117,P0095,Kualitas Fasilitator,4,
S0117,P0095,Sarana dan Prasarana,5,
S0117,P0095,Konsumsi,2,
S0117,P0095,Ketepatan Waktu,3,
S0118,P0121,Materi Pelatihan,4,
S0118,P0121,Kualitas Fasilitator,5,
S0118,P0121,Sarana dan Prasarana,5,
S0118,P0121,Konsumsi,1,
S0118,P0121,Ketepatan Waktu,5,
S0119,P0014,Kualitas Fasilitator,4,
S0119,P0014,Sarana dan Prasarana,4,
S0119,P0014,Konsumsi,4,
S0119,P0014,Ketepatan Waktu,4,
S0120,P0041,Materi Pelatihan,4,
S0120,P0041,Kualitas Fasilitator,4,
S0120,P0041,Sarana dan Prasarana,5,
S0120,P0041,Konsumsi,5,
S0120,P0041,Ketepatan Waktu,5,
